,Time,Fp1,Fp2,AF7,AF3,AF4,AF8,F7,F5,F3,F1,Fz,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,T7,C5,C3,C1,Cz,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,PO7,POz,P08,O1,O2,EOG
0,47.995,830.677222,979.638619,847.257758,766.929505,555.929311,853.074414,777.92697,910.4160820000001,798.45196,491.603217,487.69184400000006,503.767091,615.011479,723.6639190000001,817.772293,815.388048,733.921696,743.744226,594.896394,532.860179,561.555191,530.361924,1035.550217,1002.456818,711.753206,800.3485019999999,643.596176,605.7294509999999,570.1156110000001,540.7762769999999,504.06449699999996,410.460162,913.2868470000001,674.436957,789.0869690000001,573.238155,674.983196,497.01364299999995,594.5127190000001,584.173187,866.811458,703.125858,604.050959,756.124658,736.3583309999999,690.772577,357.072852,527.221414,568.057948,817.546838,741.13312,742.770663,313.3937,932.304475,750.347476,969.756009,-1591.606547
1,55.86,741.3973269999999,872.008242,766.300141,677.442596,457.186287,782.537999,700.256845,824.5700320000001,711.395305,418.706294,405.380556,417.427792,544.665508,660.522407,717.521373,715.022991,664.7951009999999,655.4649969999999,510.62893399999996,454.108818,479.501451,447.695241,939.8561480000001,878.9024300000001,621.4422089999999,743.264679,570.747832,506.64989800000006,488.03508899999997,474.86396900000005,413.939559,402.988505,806.540835,594.336379,722.6981040000001,500.924759,595.999766,419.46095499999996,501.553732,504.64187400000003,762.436112,617.204151,527.649101,659.986684,664.4374809999999,606.561811,306.138894,447.781496,493.39207400000004,757.499946,663.73107,643.358617,280.65500499999996,835.169209,682.3618339999999,985.912887,-1632.253751
2,63.775,655.710247,800.222757,690.103381,608.341656,428.382266,705.809794,657.269119,744.304954,623.5690549999999,366.48739,354.879749,364.497648,485.474349,612.451192,660.03692,685.004174,604.159283,571.635643,449.85665300000005,400.292235,423.74452199999996,397.688504,880.3690859999999,793.123048,594.083784,677.197918,510.37614699999995,440.302866,418.055053,425.165212,364.331591,369.95673999999997,709.001124,560.203541,626.474109,439.20665499999996,536.213869,365.986288,449.251279,446.89032199999997,705.014092,567.223168,485.719757,604.3290400000001,617.421504,569.497751,264.772229,384.128875,437.289179,695.4058809999999,609.067129,588.2007309999999,240.277625,735.432159,637.662106,939.6230869999999,-1588.697668
3,71.66,505.521992,656.193543,535.766742,460.644899,295.091007,548.81011,491.984303,573.692467,457.116312,202.50040900000002,202.992658,219.26809,372.065526,476.25264000000004,519.108703,537.770108,441.606838,420.493916,279.156642,241.32759700000003,275.834256,256.823107,739.019667,668.4699360000001,455.18911900000006,517.647201,362.074018,298.36123599999996,269.63948999999997,275.597648,227.161058,170.772673,568.295793,405.482187,470.9881,317.540168,390.968467,230.523448,318.745564,317.504318,573.4966450000001,442.324642,350.432545,453.154646,454.940241,438.223245,135.375851,261.897538,307.653602,551.175548,481.569049,443.286527,93.17604399999999,597.832214,487.04410099999996,765.70326,-1471.17103
4,79.525,392.508071,504.661776,395.453906,339.234001,157.797753,389.749396,359.081097,444.971754,326.184913,74.652324,82.30574399999999,93.041761,203.476798,290.932513,388.035395,400.784314,297.689577,288.902251,118.46642299999999,99.900915,147.43033400000002,133.731572,566.740525,512.850827,324.59469900000005,356.031269,226.80949500000003,170.471347,139.957335,141.145579,110.00044799999999,33.122359,433.347576,253.81434700000003,287.586314,173.187262,258.33507099999997,102.345917,215.730609,208.182323,420.179567,315.301307,220.69623199999998,307.114017,286.434691,287.233686,19.558913,151.220874,177.583071,372.191496,339.157296,304.68408900000003,-32.193317,449.92040499999996,315.785541,620.761488,-1695.4294719999998
5,91.945,279.30025,386.45882,272.636807,227.05050400000002,88.33200500000001,316.08478199999996,275.89477200000005,334.889786,257.08002799999997,9.261084,18.815466,22.631316,108.53491000000001,220.486679,300.10433900000004,323.77410299999997,225.97543599999997,196.31714,55.840805,64.968339,70.15508,63.545131999999995,480.261738,417.606083,248.720217,300.06993700000004,156.22862800000001,100.48078100000001,76.603177,82.321463,22.687246,73.60251099999999,342.525625,197.55443400000001,179.058,85.70042099999999,174.699456,44.243183,102.188869,93.62049300000001,325.930444,228.28375099999997,145.243867,232.888634,211.896025,193.763452,-41.097705,98.386252,95.28378599999999,342.494347,278.072964,227.92295,-59.427562,309.652283,263.941596,472.002025,-882.9645619999999
6,99.83,173.11903700000002,275.487436,168.220275,133.354826,-3.935489,211.151521,173.075003,236.515696,159.796689,-79.082635,-65.723988,-73.334756,58.112044,119.449956,174.155832,211.90159,126.572258,84.479681,-60.771483999999994,-27.573471,-29.415158,-25.719522,341.469134,283.548833,135.565449,202.47271,56.368736,-13.748755,-21.338670999999998,-30.637344,-68.890372,-87.08769000000001,217.70025800000002,101.157966,90.983202,-3.266353,73.05025,-42.774226,1.8882560000000002,-24.305973,221.208179,114.08626100000001,46.326425,171.581487,160.20163,91.673309,-146.864608,-2.8474009999999996,1.7188419999999998,231.785307,179.81284,166.036672,-177.95543500000002,200.031687,164.201359,262.719445,-779.605068
7,107.71,81.25885600000001,186.608261,90.835285,50.701159999999994,-90.263715,115.074201,106.12751399999999,151.64030400000001,61.555243000000004,-155.840101,-139.05326200000002,-141.38407800000002,-6.616592,16.0772,104.459016,145.408651,57.913927,0.578754,-114.138355,-105.396181,-96.593177,-103.83974599999999,256.14923999999996,204.930479,50.621078999999995,117.913799,-26.847733,-84.501974,-89.998476,-97.711219,-143.085587,-54.332206000000006,143.764442,2.191763,0.050166,-124.28222099999999,-1.394917,-116.912737,-70.47960400000001,-102.909685,136.225171,32.019679,-35.770025,66.62916700000001,72.301139,-0.186338,-197.877307,-88.453337,-77.22631899999999,131.510198,87.639915,60.515073,-211.423577,136.675139,80.69499,233.24661899999998,-650.4851480000001
8,115.595,76.591264,172.131912,71.468919,48.363957,-160.143684,94.280169,88.02895600000001,152.04573100000002,52.732909,-148.299602,-128.04628799999998,-130.95863,7.016203,-11.9517,91.75204000000001,123.100181,47.988873,0.02816,-112.7336,-96.431501,-89.349387,-101.30808,231.256368,191.257487,59.626778,101.600289,-31.010475,-96.178896,-76.35888800000001,-100.219093,-137.176738,-150.671593,121.763158,-10.385321000000001,-24.633052,-127.605899,-2.015749,-104.131446,-75.07522900000001,-110.089134,125.57988,35.518459,-31.106635999999998,45.064523,41.938848,-23.075644,-204.86993999999999,-87.649215,-67.526519,134.463873,109.224401,43.092283,-240.339442,138.519395,73.780588,124.533266,-446.426849
9,123.495,32.246924,123.315569,34.293847,2.574848,-179.837638,73.91781800000001,63.458661,101.183775,15.963455999999999,-182.002093,-163.40828,-165.307821,-53.622276,-18.968655,60.618083999999996,84.948541,20.827898,-33.716528000000004,-148.061208,-127.54509399999999,-121.036188,-126.27103899999999,214.908431,140.309488,27.556457,59.781618,-75.266091,-155.295406,-115.525999,-122.19976799999999,-171.55891699999998,-88.545787,92.536578,-42.572159,-40.073339000000004,-176.356889,-50.260949,-141.023102,-110.689292,-165.74645800000002,76.765512,-13.327014000000002,-70.71911999999999,29.219482,14.740196,-73.377038,-225.257797,-132.165177,-110.77396399999999,107.545349,73.886629,26.394441999999998,-241.228906,76.9306,36.133601,121.69721200000001,-374.486961
